tid,entity_one_name,entity_one_id,entity_one_type,entity_two_name,entity_two_id,entity_two_type,relation_name,pmid,sentance,score,sentence,source_id,head_entity,head_entity_type,head_entity_id,tail_entity,tail_entity_type,tail_entity_id,article_title,article_authors,article_first_author,article_journal,article_publication_year,article_publication_type,contextual_features
"C0011570.C0004936.2.25440309.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","25440309","OBJECTIVE Irritability is a dimensional trait in typical development and a common presenting symptom in many psychiatric disorders, including depression.","16.99339","OBJECTIVE Irritability is a dimensional trait in typical development and a common presenting symptom in many psychiatric disorders, including depression.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Developmental trajectories of irritability and bidirectional associations with maternal depression.","Wiggins Jillian Lee, Mitchell Colter, Stringaris Argyris, Leibenluft Ellen","Wiggins Jillian Lee","Journal of the American Academy of Child and Adolescent Psychiatry","2014","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.30768414.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","30768414","OBJECTIVE Depression is the most prominent mental health disorder among youth and has a profound impact with respect to morbidity and mortality if not addressed.","16.99339","OBJECTIVE Depression is the most prominent mental health disorder among youth and has a profound impact with respect to morbidity and mortality if not addressed.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Trajectories of Symptom Change in the Treatment for Adolescents With Depression Study.","Scott Kelli, Lewis Cara C, Marti C Nathan","Scott Kelli","Journal of the American Academy of Child and Adolescent Psychiatry","2019","Journal Article, Multicenter Study, Randomized Controlled Trial, Research Support, N.I.H., Extramural","[object Object]"
"C0011570.C0004936.2.12826087.5.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","12826087","In the P and Mixed groups three main subgroups of psychiatric disorders could be found: anxiety (N=56), depressive (N=20), and somatoform disorders (N=53).","16.98733","In the P and Mixed groups three main subgroups of psychiatric disorders could be found: anxiety (N=56), depressive (N=20), and somatoform disorders (N=53).","","depression","disease","C0011570","Mental disorders","disease","C0004936","Anxiety disorders and other psychiatric subgroups in patients complaining of dizziness.","Eckhardt-Henn A, Breuer P, Thomalske C, Hoffmann S O, Hopf H C","Eckhardt-Henn A","Journal of anxiety disorders","2003","Journal Article","[object Object]"
"C0011570.C0004936.2.24388670.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","24388670","BACKGROUND Depression is a heterogeneous mental illness.","16.9843","BACKGROUND Depression is a heterogeneous mental illness.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Anhedonia and reward-circuit connectivity distinguish nonresponders from responders to dorsomedial prefrontal repetitive transcranial magnetic stimulation in major depression.","Downar Jonathan, Geraci Joseph, Salomons Tim V, Dunlop Katharine, Wheeler Sarah, McAndrews Mary Pat, Bakker Nathan, Blumberger Daniel M, Daskalakis Zafiris J, Kennedy Sidney H, Flint Alastair J, Giacobbe Peter","Downar Jonathan","Biological psychiatry","2014","Journal Article","[object Object]"
"C0011570.C0004936.2.29573791.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","29573791","Epidemiologic and genetic studies suggest common environmental and genetic risk factors for a number of psychiatric disorders, including depression, bipolar disorder, and schizophrenia.","16.9843","Epidemiologic and genetic studies suggest common environmental and genetic risk factors for a number of psychiatric disorders, including depression, bipolar disorder, and schizophrenia.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Understanding the Molecular Mechanisms Underpinning Gene by Environment Interactions in Psychiatric Disorders: The FKBP5 Model.","Matosin Natalie, Halldorsdottir Thorhildur, Binder Elisabeth B","Matosin Natalie","Biological psychiatry","2018","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review","[object Object]"
"C0011570.C0004936.2.25963932.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","25963932","BACKGROUND Depression is the most common form of mental disorder in community and health care settings and current treatments are far from satisfactory.","16.9843","BACKGROUND Depression is the most common form of mental disorder in community and health care settings and current treatments are far from satisfactory.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Transcutaneous Vagus Nerve Stimulation Modulates Default Mode Network in Major Depressive Disorder.","Fang Jiliang, Rong Peijing, Hong Yang, Fan Yangyang, Liu Jun, Wang Honghong, Zhang Guolei, Chen Xiaoyan, Shi Shan, Wang Liping, Liu Rupeng, Hwang Jiwon, Li Zhengjie, Tao Jing, Wang Yang, Zhu Bing, Kong Jian","Fang Jiliang","Biological psychiatry","2016","Controlled Clinical Trial, Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.33500177.4.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","33500177","For both cohorts, we first conducted regression analyses to evaluate the associations between the TDI and common psychiatric disorders or traits, including anxiety, bipolar disorder, self-harm, and depression (based on self-reported depression and Patient Health Questionnaire scores).","16.9843","For both cohorts, we first conducted regression analyses to evaluate the associations between the TDI and common psychiatric disorders or traits, including anxiety, bipolar disorder, self-harm, and depression (based on self-reported depression and Patient Health Questionnaire scores).","","depression","disease","C0011570","Mental disorders","disease","C0004936","Socioeconomic Deprivation Index Is Associated With Psychiatric Disorders: An Observational and Genome-wide Gene-by-Environment Interaction Analysis in the UK Biobank Cohort.","Ye Jing, Wen Yan, Sun Xifang, Chu Xiaomeng, Li Ping, Cheng Bolun, Cheng Shiqiang, Liu Li, Zhang Lu, Ma Mei, Qi Xin, Liang Chujun, Kafle Om Prakash, Jia Yumeng, Wu Cuiyan, Wang Sen, Wang Xi, Ning Yujie, Sun Shiquan, Zhang Feng","Ye Jing","Biological psychiatry","2021","Journal Article, Observational Study, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.36894487.2.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","36894487","Several lines of evidence have demonstrated that deficits in dentate granule cells (DGCs) (e.g., loss of DGCs or genetic mutations in DGCs) contribute to the development of various psychiatric disorders, such as depression and anxiety disorders.","16.9843","Several lines of evidence have demonstrated that deficits in dentate granule cells (DGCs) (e.g., loss of DGCs or genetic mutations in DGCs) contribute to the development of various psychiatric disorders, such as depression and anxiety disorders.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Dorsal Dentate Gyrus, a Key Regulator for Mood and Psychiatric Disorders.","Sun Dong, Mei Lin, Xiong Wen-Cheng","Sun Dong","Biological psychiatry","2023","Journal Article, Review, Research Support, N.I.H., Extramural","[object Object]"
"C0011570.C0004936.2.3955114.2.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","3955114","They point out that AIDS and its complications can mimic psychiatric syndromes, including depression and dementia, or delirium related to illnesses such as alcoholism.","16.9843","They point out that AIDS and its complications can mimic psychiatric syndromes, including depression and dementia, or delirium related to illnesses such as alcoholism.","","depression","disease","C0011570","Mental disorders","disease","C0004936","AIDS encephalitis mimicking alcohol dementia and depression.","Beresford T P, Blow F C, Hall R C","Beresford T P","Biological psychiatry","1986","Case Reports, Journal Article","[object Object]"
"C0011570.C0004936.2.8573663.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","8573663","Beneficial effects of inflammatory events on certain psychiatric disorders, including depression, were reported sporadically by ancient Greek physicians, but have been described also in our times by a few psychiatrists during the past decades.","16.9843","Beneficial effects of inflammatory events on certain psychiatric disorders, including depression, were reported sporadically by ancient Greek physicians, but have been described also in our times by a few psychiatrists during the past decades.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Induction of cytokine synthesis and fever suppresses REM sleep and improves mood in patients with major depression.","Bauer J, Hohagen F, Gimmel E, Bruns F, Lis S, Krieger S, Ambach W, Guthmann A, Grunze H, Fritsch-Montero R","Bauer J","Biological psychiatry","1995","Journal Article","[object Object]"
"C0011570.C0004936.2.30322910.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","30322910","Depression, the most prevalent mental illness, is underdiagnosed and undertreated, highlighting the need to extend the scope of current screening methods.","16.98337","Depression, the most prevalent mental illness, is underdiagnosed and undertreated, highlighting the need to extend the scope of current screening methods.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Facebook language predicts depression in medical records.","Eichstaedt Johannes C, Smith Robert J, Merchant Raina M, Ungar Lyle H, Crutchley Patrick, Preoţiuc-Pietro Daniel, Asch David A, Schwartz H Andrew","Eichstaedt Johannes C","Proceedings of the National Academy of Sciences of the United States of America","2018","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
